cell_type,rank,gene,attn_score,gene_type
CD4 T cells,61,FBXW7,18.114832878112793,protein coding
CD4 T cells,62,CCNB1,17.668734073638916,protein coding
CD4 T cells,63,PLCD1,17.533069497063046,protein coding
CD4 T cells,64,AFF4,17.172473907470703,protein coding
CD4 T cells,65,LAP3,16.8025094717741,protein coding
CD4 T cells,66,CEP70,16.777875918608444,protein coding
CD4 T cells,67,HTR1F,16.71401859732235,protein coding
CD4 T cells,68,SDHA,16.62185827891032,protein coding
CD4 T cells,69,ARSB,16.61869168281555,protein coding
CD4 T cells,70,DAP,16.013418833414715,protein coding
CD4 T cells,71,OXSR1,15.806260177067347,protein coding
CD4 T cells,72,DNAJB14,15.785809516906738,protein coding
CD4 T cells,73,TXK,15.763395581926618,protein coding
CD4 T cells,74,FAIM,15.733842556293194,protein coding
CD4 T cells,75,CD14,15.592228889465332,protein coding
CD4 T cells,76,CXCL2,15.383502006530762,protein coding
CD4 T cells,77,GNL1,15.188851356506348,protein coding
CD4 T cells,78,DEK,15.137864112854004,protein coding
CD4 T cells,79,DMXL1,15.077597379684448,protein coding
CD4 T cells,80,HSD17B11,14.468254852294923,protein coding
CD4 T cells,81,COPS4,14.43717975616455,protein coding
CD4 T cells,82,EIF5A2,14.324370288848877,protein coding
CD4 T cells,83,IRF1,14.265856564044952,protein coding
CD4 T cells,84,SLC25A38,14.21428522609529,protein coding
CD4 T cells,85,MANBA,13.99153003692627,protein coding
CD4 T cells,86,CETN3,13.93168020248413,protein coding
CD4 T cells,87,PDGFC,13.746097326278687,protein coding
CD4 T cells,88,ZNF141,13.707635223865509,protein coding
CD4 T cells,89,PRKRA,13.641622866903033,protein coding
CD4 T cells,90,GZMA,13.630247910817465,protein coding
CD4 T cells,91,HLA-DMA,13.093836784362793,protein coding
CD4 T cells,92,IMPDH2,12.997854540745417,protein coding
CD4 T cells,93,MAP9,12.700563430786133,protein coding
CD4 T cells,94,IGF2BP2,12.588808298110962,protein coding
CD4 T cells,95,EXOSC9,12.558042228221893,protein coding
CD4 T cells,96,AP2M1,12.548250603675843,protein coding
CD4 T cells,97,PSMD6,12.525983166168718,protein coding
CD4 T cells,98,ARL8B,12.46884134080675,protein coding
CD4 T cells,99,RPL26L1,12.31013298034668,protein coding
CD4 T cells,100,SATB1,12.28218779961268,protein coding
CD8 T cells,1,ARL8B,90.06391906738281,protein coding
CD8 T cells,2,LSM3,64.52223205566406,protein coding
CD8 T cells,3,TMEM40,61.829891204833984,protein coding
CD8 T cells,4,XPC,47.58774948120117,protein coding
CD8 T cells,5,EPHA4,45.22142791748047,protein coding
CD8 T cells,6,VHL,44.663299560546875,protein coding
CD8 T cells,7,RPL32,40.9780158996582,protein coding
CD8 T cells,8,CHPF,39.066969871520996,protein coding
CD8 T cells,9,ATG16L1,39.03816604614258,protein coding
CD8 T cells,10,RNPEPL1,33.347896575927734,protein coding
CD8 T cells,11,HAT1,33.31482256542552,protein coding
CD8 T cells,12,TATDN2,30.189016342163086,protein coding
CD8 T cells,13,CRELD1,30.18577003479004,protein coding
CD8 T cells,14,RPE,28.636749923229218,protein coding
CD8 T cells,15,AZI2,27.363040924072266,protein coding
CD8 T cells,16,CTLA4,24.01446194201708,protein coding
CD8 T cells,17,AAMP,23.953001856803894,protein coding
CD8 T cells,18,PRKRA,23.839051299624973,protein coding
CD8 T cells,19,ANKRD28,22.41008758544922,protein coding
CD8 T cells,20,TRIP12,22.161109924316406,protein coding
CD8 T cells,21,SMARCAL1,21.729278405507404,protein coding
CD8 T cells,22,MREG,20.785769121987478,protein coding
CD8 T cells,23,SCRN3,18.759901827031914,protein coding
CD8 T cells,24,CLASP1,15.744723933083671,protein coding
CD8 T cells,25,ATG7,15.188811302185059,protein coding
CD8 T cells,26,KLF7,15.080461502075195,protein coding
CD8 T cells,27,FARP2,14.736011505126953,protein coding
CD8 T cells,28,SETD5,13.550045013427734,protein coding
CD8 T cells,29,COPS7B,13.473669052124023,protein coding
CD8 T cells,30,TTN,12.947776158650717,protein coding
CD8 T cells,31,CAB39,12.310222625732422,protein coding
CD8 T cells,32,SP3,12.205988493832676,protein coding
CD8 T cells,33,CD8A,12.164587076633207,protein coding
CD8 T cells,34,GMPPA,11.584922075271606,protein coding
CD8 T cells,35,FOXN2,11.32490590569519,protein coding
CD8 T cells,36,PLCH2,11.104167650006094,protein coding
CD8 T cells,37,CTDSP1,10.915229280789694,protein coding
CD8 T cells,38,BAZ2B,10.15147811571757,protein coding
CD8 T cells,39,ATIC,10.145486414432526,protein coding
CD8 T cells,40,PANK4,9.730307801405369,protein coding
CD8 T cells,41,TNFRSF1B,9.434916878541037,protein coding
CD8 T cells,42,EFHD2,9.339953144405099,protein coding
CD8 T cells,43,PLEKHM2,8.837359542634276,protein coding
CD8 T cells,44,ZNF804A,8.645250532362196,protein coding
CD8 T cells,45,ACVR1,8.594725815455119,protein coding
CD8 T cells,46,ANKZF1,8.418367147445679,protein coding
CD8 T cells,47,MRPL19,8.045289793983102,protein coding
CD8 T cells,48,FASTKD1,7.9380818880521336,protein coding
CD8 T cells,49,MTMR14,7.818360328674316,protein coding
CD8 T cells,50,CHML,7.8025458021597425,protein coding
CD8 T cells,51,DHRS3,7.742838135349323,protein coding
CD8 T cells,52,INSIG2,7.622619477185336,protein coding
CD8 T cells,53,GCA,7.596605046590169,protein coding
CD8 T cells,54,ATP13A2,7.5416392671428,protein coding
CD8 T cells,55,WDR12,7.53907784819603,protein coding
CD8 T cells,56,NECAP2,7.280036118951785,protein coding
CD8 T cells,57,LY75,7.119895172119141,protein coding
CD8 T cells,58,TNFRSF8,6.984253586017789,protein coding
CD8 T cells,59,AUP1,6.836341917514801,protein coding
CD8 T cells,60,UXS1,6.762807911092585,protein coding
CD8 T cells,61,CYP20A1,6.648965001106262,protein coding
CD8 T cells,62,SNX17,6.503753108136794,protein coding
CD8 T cells,63,SLC35F5,6.2690656158057125,protein coding
CD8 T cells,64,IL18RAP,6.14650022983551,protein coding
CD8 T cells,65,SSBP3,6.098014585164411,protein coding
CD8 T cells,66,SCN9A,6.046723314693996,protein coding
CD8 T cells,67,CAPG,6.01625726185739,protein coding
CD8 T cells,68,PLOD1,5.9656163034600445,protein coding
CD8 T cells,69,IPP,5.9310520765016586,protein coding
CD8 T cells,70,PRDX1,5.930639426316551,protein coding
CD8 T cells,71,THUMPD2,5.868661707223848,protein coding
CD8 T cells,72,EDEM1,5.822198390960693,protein coding
CD8 T cells,73,HOOK1,5.811999445081334,protein coding
CD8 T cells,74,SH3YL1,5.67793775859632,protein coding
CD8 T cells,75,WNT7A,5.67405366897583,protein coding
CD8 T cells,76,HECTD3,5.537575230866835,protein coding
CD8 T cells,77,COG2,5.431435265587371,protein coding
CD8 T cells,78,POMGNT1,5.382287914700065,protein coding
CD8 T cells,79,MBD5,5.265642054875692,protein coding
CD8 T cells,80,UNC50,5.251414284110069,protein coding
CD8 T cells,81,TMEM59,5.2156571713199025,protein coding
CD8 T cells,82,PCBP1,5.1949322553057415,protein coding
CD8 T cells,83,ECHDC2,5.124059340355722,protein coding
CD8 T cells,84,L1TD1,5.1026648471944895,protein coding
CD8 T cells,85,RNF11,5.093793747267424,protein coding
CD8 T cells,86,ODC1,5.080225817754235,protein coding
CD8 T cells,87,RPS6KC1,5.0525671275223,protein coding
CD8 T cells,88,ARHGEF10L,5.039320467873502,protein coding
CD8 T cells,89,TTC31,4.995230350643396,protein coding
CD8 T cells,90,SRP9,4.9540297704935075,protein coding
CD8 T cells,91,PADI2,4.944593499646167,protein coding
CD8 T cells,92,ASXL2,4.904880331372315,protein coding
CD8 T cells,93,GYPC,4.896470296382904,protein coding
CD8 T cells,94,TNFRSF14,4.889186826776404,protein coding
CD8 T cells,95,BCS1L,4.836451888084412,protein coding
CD8 T cells,96,LRRC42,4.835528339526888,protein coding
CD8 T cells,97,CDA,4.814982682548834,protein coding
CD8 T cells,98,GPX7,4.782182257535008,protein coding
CD8 T cells,99,FPGT,4.763113241817658,protein coding
CD8 T cells,100,JAK1,4.701986426513292,protein coding
CD14+ Monocytes,1,CHST2,98.58119201660156,protein coding
CD14+ Monocytes,2,PCNP,65.04008483886719,protein coding
CD14+ Monocytes,3,HLTF,64.52229309082031,protein coding
CD14+ Monocytes,4,IFRD2,62.04507064819336,protein coding
CD14+ Monocytes,5,ZBTB38,61.83026123046875,protein coding
CD14+ Monocytes,6,ZNF654,56.98832702636719,protein coding
CD14+ Monocytes,7,ZXDC,56.76390838623047,protein coding
CD14+ Monocytes,8,THOC7,54.00701904296875,protein coding
